strategy,market_type,total_return,win_rate,sharpe_ratio,max_drawdown_pct
TrendFollowing,sideways market,0.0,0.0,0.0,
GridTrading,normal market,1.47,1.0,0.38,
GridTrading,missing market,0.39,1.0,0.0,
DCA,sideways market,0.01,1.0,0.01,
TrendFollowing,missing market,0.0,0.0,0.0,
Scalping,sideways market,-11.16,0.0,-0.41,
MeanReversion,sideways market,0.0,0.0,0.0,
TrendFollowing,invalid market,0.0,0.0,0.0,
DCA,trending market,0.34,1.0,0.97,
GridTrading,volatile market,-0.27,0.0,-0.13,
TrendFollowing,trending market,0.0,0.0,0.0,
Arbitrage,volatile market,-0.68,0.0,0.01,
MeanReversion,trending market,0.0,0.0,0.0,
TrendFollowing,gappy market,0.0,0.0,0.0,
TrendFollowing,normal market,0.0,0.0,0.0,
MeanReversion,normal market,0.0,0.0,0.0,
GridTrading,invalid market,-0.3,0.0,-0.41,
Scalping,trending market,14.7,0.75,1.51,
Arbitrage,normal market,18.34,1.0,0.54,
Scalping,gappy market,15.75,1.0,0.69,
GridTrading,gappy market,-0.03,0.0,-0.03,
DCA,normal market,-0.13,0.5,-0.23,
MeanReversion,invalid market,0.0,0.0,0.0,
Arbitrage,missing market,3.3,1.0,0.0,
GridTrading,sideways market,0.05,1.0,0.03,
DCA,gappy market,-0.3,0.3333,-0.39,
Arbitrage,sideways market,0.32,1.0,0.04,
DCA,invalid market,0.57,0.963,0.71,
Scalping,missing market,2.97,0.5,0.0,
Arbitrage,gappy market,-3.24,0.0,-0.39,
MeanReversion,volatile market,0.0,0.0,0.0,
Scalping,invalid market,0.35,0.6667000000000001,0.04,
DCA,missing market,0.95,1.0,0.0,
Scalping,volatile market,2.93,0.5,0.16,
DCA,volatile market,0.19,0.8667,0.09,
Scalping,normal market,-14.58,0.0,-2.86,
Arbitrage,invalid market,-0.23,0.0,-0.01,
MeanReversion,gappy market,0.0,0.0,0.0,
TrendFollowing,volatile market,0.0,0.0,0.0,
MeanReversion,missing market,0.0,0.0,0.0,
GridTrading,trending market,2.23,1.0,1.95,
Arbitrage,trending market,20.3,1.0,2.01,
